"_id","serialNumber","status","lock","word","rootWord","inflection","usernam","time"
"636784e83809df585d25f2e9",568,1,0,"পরিচালনব্যবস্থা","পরি","চালনব্যবস্থা","sam74","2022-11-06T10:04:28.629Z"
"636784e83809df585d25f2e8",567,1,0,"টিবিএম","টিবি","এম","sam74","2022-11-06T10:04:28.305Z"
"636784e83809df585d25f2ea",569,1,0,"দৃষ্টিকোণের","দৃষ্টিকোণের","","sam74","2022-11-06T10:04:27.967Z"
"636784e83809df585d25f2c1",528,1,0,"স্কেলটি","স্কে","লটি","sam74","2022-11-06T10:04:27.638Z"
"636784e83809df585d25f2e7",566,1,0,"বুদ্ধিস্ট","বুদ্ধি","স্ট","sam74","2022-11-06T10:04:27.305Z"
"636784e83809df585d25f2e6",565,1,0,"ইলিশে","ইলিশে","","sam74","2022-11-06T10:04:26.971Z"
"636784e83809df585d25f2c2",529,1,0,"সিকনেস","সি","কনেস","sam74","2022-11-06T10:04:26.636Z"
"636784e83809df585d25f2e3",562,1,0,"আধিপত্যবাদের","আধিপত্যবাদের","","sam74","2022-11-06T10:04:26.294Z"
"636784e83809df585d25f2e1",560,1,0,"পন্ট","পন্","ট","sam74","2022-11-06T10:04:25.950Z"
"636784e83809df585d25f2e2",561,1,0,"খোঁজই","খোঁজই","","sam74","2022-11-06T10:04:25.609Z"